"","CC=F.Close"
"1",795
"2",753
"3",800
"4",747
"5",842
"6",820
"7",825
"8",745
"9",797
"10",755
"11",704
"12",758
"13",1020
"14",1131
"15",1073
"16",1010
"17",936
"18",974
"19",957
"20",927
"21",1077
"22",1017
"23",1355
"24",1310
"25",1344
"26",1466
"27",1494
"28",1540
"29",1598
"30",1630
"31",1787
"32",2012
"33",2191
"34",1927
"35",1750
"36",2021
"37",2409
"38",2080
"39",1960
"40",2076
"41",1493
"42",1681
"43",1465
"44",1820
"45",1626
"46",1440
"47",1446
"48",1515
"49",1520
"50",1570
"51",1549
"52",1413
"53",1465
"54",1336
"55",1645
"56",1682
"57",1453
"58",1469
"59",1661
"60",1547
"61",1525
"62",1715
"63",1613
"64",1459
"65",1422
"66",1440
"67",1479
"68",1350
"69",1413
"70",1351
"71",1408
"72",1504
"73",1484
"74",1450
"75",1489
"76",1501
"77",1473
"78",1646
"79",1486
"80",1420
"81",1472
"82",1484
"83",1483
"84",1635
"85",1617
"86",1720
"87",1953
"88",1815
"89",1883
"90",2054
"91",1942
"92",1868
"93",2036
"94",1945
"95",1978
"96",2035
"97",2326
"98",2754
"99",2321
"100",2882
"101",2723
"102",3245
"103",2858
"104",2864
"105",2558
"106",2053
"107",2372
"108",2665
"109",2771
"110",2508
"111",2605
"112",2345
"113",2588
"114",2487
"115",2892
"116",2772
"117",3140
"118",3297
"119",3214
"120",3289
"121",3184
"122",2917
"123",2969
"124",3229
"125",2965
"126",2894
"127",3091
"128",2698
"129",2814
"130",2797
"131",2772
"132",3035
"133",3352
"134",3757
"135",2952
"136",3390
"137",2999
"138",3170
"139",2974
"140",3098
"141",2608
"142",2696
"143",2162
"144",2109
"145",2291
"146",2383
"147",2219
"148",2263
"149",2083
"150",2289
"151",2376
"152",2656
"153",2516
"154",2388
"155",2538
"156",2236
"157",2205
"158",2146
"159",2170
"160",2368
"161",2191
"162",2194
"163",2298
"164",2413
"165",2640
"166",2677
"167",2791
"168",2709
"169",2911
"170",2935
"171",2955
"172",2974
"173",3071
"174",3143
"175",3219
"176",3219
"177",3300
"178",2899
"179",2880
"180",2910
"181",2693
"182",3102
"183",2699
"184",2943
"185",3085
"186",3275
"187",3209
"188",3102
"189",3114
"190",3259
"191",3327
"192",3211
"193",2761
"194",2949
"195",2950
"196",3207
"197",3059
"198",3004
"199",2835
"200",2921
"201",2761
"202",2735
"203",2387
"204",2126
"205",2103
"206",1943
"207",2095
"208",1844
"209",2048
"210",1903
"211",2060
"212",1966
"213",2043
"214",2094
"215",2048
"216",1892
"217",1996
"218",2240
"219",2556
"220",2845
"221",2454
"222",2476
"223",2170
"224",2323
"225",2057
"226",2234
"227",2144
"228",2416
"229",2168
"230",2238
"231",2280
"232",2368
"233",2400
"234",2450
"235",2345
"236",2161
"237",2442
"238",2403
"239",2617
"240",2540
"241",2777
"242",2760
"243",2249
"244",2432
"245",2454
"246",2251
"247",2400
"248",2723
"249",2546
"250",2293
"251",3008
"252",2603
"253",2531
"254",2701
"255",2348
"256",2342
"257",2412
"258",2360
"259",2366
"260",2560
"261",2652
"262",2544
"263",2314
"264",2520
"265",2528
"266",2491
"267",2650
"268",2597
"269",2496
"270",2291
"271",2323
"272",2427
"273",2354
"274",2335
"275",2451
"276",2600
"277",2581
"278",2748
"279",2933
"280",3174
"281",3007
"282",3318
"283",3548
"284",3602
"285",3418
"286",3817
"287",4475
"288",4196
"289",4822
"290",6510
"291",9766
